,Date andtime (UTC),"Version,Booster [a]",Launch site,Payload[b],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,date,day,year,month,time,season
103,16 September 202100:02:56[227],F9 B5 ♺ B1062.3[228],"KSC,LC-39A",Inspiration4(Crew Dragon C207.2 Resilience ♺ ),"~12,519 kg (27,600 lb)",LEO,Jared Isaacman[note 1][229][230],Success,Success(drone ship),2021-09-16 00:02:00,Thursday,2021,9,00:02:00,Autumn
104,11 November 202102:03:31[236],F9 B5 ♺ B1067.2[237],"KSC,LC-39A",Crew-3(Crew Dragon C210.1 Endurance),"~13,000 kg (29,000 lb)[238]",LEO (ISS),NASA (CTS)[22],Success,Success(drone ship),2021-11-11 02:03:00,Thursday,2021,11,02:03:00,Autumn
105,13 November 202112:19[240],F9 B5 ♺ B1058.9[241],"CCSFS,SLC-40",Starlink Group 4-1 (53 satellites)[242],"~15,635 kg (34,469 lb)",LEO,SpaceX,Success,Success(drone ship),2021-11-13 12:19:00,Saturday,2021,11,12:19:00,Autumn
106,24 November 202106:21[244],F9 B5 ♺ B1063.3[245],"VSFB,SLC-4E",Double Asteroid Redirection Test (DART)[246],"624 kg (1,376 lb)",Heliocentric,NASA (LSP),Success,Success(drone ship),2021-11-24 06:21:00,Wednesday,2021,11,06:21:00,Autumn
107,2 December 202123:12[250],F9 B5 ♺ B1060.9[251],"CCSFS,SLC-40",Starlink Group 4-3 (48 satellites)SXRS-2: BlackSky Global (2 sats)[252],"~14,500 kg (32,000 lb)",LEO,"SpaceXSpaceflight, Inc. (BlackSky Global)",Success,Success(drone ship),2021-12-02 23:12:00,Thursday,2021,12,23:12:00,Winter
108,9 December 202106:00[256],F9 B5 ♺ B1061.5,"KSC,LC-39A",Imaging X-ray Polarimetry Explorer (IXPE)[257],325 kg (717 lb),LEO,NASA (LSP),Success,Success(drone ship),2021-12-09 06:00:00,Thursday,2021,12,06:00:00,Winter
109,18 December 202112:41[260],F9 B5 ♺ B1051.11,"VSFB,SLC-4E",Starlink Group 4-4(52 satellites)[261],"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),2021-12-18 12:41:00,Saturday,2021,12,12:41:00,Winter
110,19 December 202103:58[262],F9 B5 ♺ B1067.3,"CCSFS,SLC-40",Türksat 5B[263],"4,500 kg (9,900 lb)",GTO,Türksat,Success,Success(drone ship),2021-12-19 03:58:00,Sunday,2021,12,03:58:00,Winter
111,21 December 202110:06[266],F9 B5 B1069.1,"KSC,LC-39A",SpaceX CRS-24(Dragon C209.2 ♺ ),"2,989 kg (6,590 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success[f](drone ship),2021-12-21 10:06:00,Tuesday,2021,12,10:06:00,Winter
112,6 January 202221:49[272][273],F9 B5 ♺ B1062.4,"KSC,LC-39A",Starlink Group 4-5(49 satellites)[274],"~14,500 kg (32,000 lb)",LEO,SpaceX,Success,Success(drone ship),2022-01-06 21:49:00,Thursday,2022,1,21:49:00,Winter
113,13 January 202215:25:38[275],F9 B5 ♺ B1058.10,"CCSFS,SLC-40",Transporter-3: (105 payloads Smallsat Rideshare)[276],Unknown[e],SSO,Various,Success,Success(ground pad),2022-01-13 15:25:00,Thursday,2022,1,15:25:00,Winter
114,19 January 202202:02:40[282],F9 B5 ♺ B1060.10,"KSC,LC-39A",Starlink Group 4-6(49 satellites),"~14,500 kg (32,000 lb)",LEO,SpaceX,Success,Success(drone ship),2022-01-19 02:02:00,Wednesday,2022,1,02:02:00,Winter
115,31 January 202223:11[284],F9 B5 ♺ B1052.3,"CCSFS,SLC-40",CSG-2,"2,205 kg (4,861 lb)",SSO,ASI,Success,Success(ground pad),2022-01-31 23:11:00,Monday,2022,1,23:11:00,Winter
116,2 February 202220:27[287],F9 B5 B1071.1,"VSFB,SLC-4E",NROL-87,Classified,SSO,NRO,Success,Success(ground pad),2022-02-02 20:27:00,Wednesday,2022,2,20:27:00,Winter
117,3 February 202218:13[290],F9 B5 ♺ B1061.6,"KSC,LC-39A",Starlink Group 4-7(49 satellites),"~14,500 kg (32,000 lb)",LEO,SpaceX,Success,Success(drone ship),2022-02-03 18:13:00,Thursday,2022,2,18:13:00,Winter
118,21 February 202214:44[293],F9 B5 ♺ B1058.11,"CCSFS,SLC-40",Starlink Group 4-8 (46 satellites),"~13,600 kg (30,000 lb)",LEO,SpaceX,Success,Success(drone ship),2022-02-21 14:44:00,Monday,2022,2,14:44:00,Winter
119,25 February 202217:12[295],F9 B5 ♺ B1063.4,"VSFB,SLC-4E",Starlink Group 4-11 (50 satellites)[296],"~14,750 kg (32,520 lb)",LEO,SpaceX,Success,Success(drone ship),2022-02-25 17:12:00,Friday,2022,2,17:12:00,Winter
120,3 March 202214:25[297],F9 B5 ♺ B1060.11,"KSC,LC-39A",Starlink Group 4-9 (47 satellites),"~13,900 kg (30,600 lb)",LEO,SpaceX,Success,Success(drone ship),2022-03-03 14:25:00,Thursday,2022,3,14:25:00,Spring
121,9 March 202213:45[298],F9 B5 ♺ B1052.4[299],"CCSFS,SLC-40",Starlink Group 4-10(48 satellites),"~14,160 kg (31,220 lb)",LEO,SpaceX,Success,Success(drone ship),2022-03-09 13:45:00,Wednesday,2022,3,13:45:00,Spring
122,19 March 202204:42[301],F9 B5 ♺ B1051.12,"CCSFS,SLC-40",Starlink Group 4-12 (53 satellites)[302],"~16,250 kg (35,830 lb)[303]",LEO,SpaceX,Success,Success(drone ship),2022-03-19 04:42:00,Saturday,2022,3,04:42:00,Spring
123,1 April 202216:24[306],F9 B5 ♺ B1061.7,"CCSFS,SLC-40",Transporter-4: (40 payloads Smallsat Rideshare),Unknown[e],SSO,Various,Success,Success(drone ship),2022-04-01 16:24:00,Friday,2022,4,16:24:00,Spring
124,8 April 202215:17:11[309][310],F9 B5 ♺ B1062.5,"KSC,LC-39A",Axiom-1(Crew Dragon C206.3 Endeavour ♺ )[309],"~13,000 kg (29,000 lb)",LEO (ISS),Axiom Space,Success,Success(drone ship),2022-04-08 15:17:00,Friday,2022,4,15:17:00,Spring
125,17 April 202213:13:12[312],F9 B5 ♺ B1071.2,"VSFB,SLC-4E",NROL-85 (Intruder 13A (NOSS-3 9A) and Intruder 13B (NOSS-3 9B))[313],Classified,LEO,NRO,Success,Success(ground pad),2022-04-17 13:13:00,Sunday,2022,4,13:13:00,Spring
126,21 April 202217:51[318],F9 B5 ♺ B1060.12,"CCSFS,SLC-40",Starlink Group 4-14 (53 satellites),"~16,250 kg (35,830 lb)[303]",LEO,SpaceX,Success,Success(drone ship),2022-04-21 17:51:00,Thursday,2022,4,17:51:00,Spring
127,27 April 202207:52[319],F9 B5 ♺ B1067.4[320],"KSC,LC-39A",Crew-4[112](Crew Dragon C212.1 Freedom)[321],"~13,000 kg (29,000 lb)",LEO (ISS),NASA (CTS)[22],Success,Success(drone ship),2022-04-27 07:52:00,Wednesday,2022,4,07:52:00,Spring
128,29 April 202221:27[323],F9 B5 ♺ B1062.6,"CCSFS,SLC-40",Starlink Group 4-16 (53 satellites),"~16,250 kg (35,830 lb)",LEO,SpaceX,Success,Success(drone ship),2022-04-29 21:27:00,Friday,2022,4,21:27:00,Spring
129,6 May 202209:46[324],F9 B5 ♺ B1058.12,"KSC,LC-39A",Starlink Group 4-17 (53 satellites),"~16,250 kg (35,830 lb)",LEO,SpaceX,Success,Success(drone ship),2022-05-06 09:46:00,Friday,2022,5,09:46:00,Spring
130,13 May 202222:07[325],F9 B5 ♺ B1063.5,"VSFB,SLC-4E",Starlink Group 4-13 (53 satellites)[326],"~16,250 kg (35,830 lb)",LEO,SpaceX,Success,Success(drone ship),2022-05-13 22:07:00,Friday,2022,5,22:07:00,Spring
131,14 May 202220:40[327],F9 B5 B1073.1,"CCSFS,SLC-40",Starlink Group 4-15 (53 satellites),"~16,250 kg (35,830 lb)",LEO,SpaceX,Success,Success(drone ship),2022-05-14 20:40:00,Saturday,2022,5,20:40:00,Spring
132,18 May 202210:59[328],F9 B5 ♺ B1052.5,"KSC,LC-39A",Starlink Group 4-18 (53 satellites),"~16,250 kg (35,830 lb)",LEO,SpaceX,Success,Success(drone ship),2022-05-18 10:59:00,Wednesday,2022,5,10:59:00,Spring
133,25 May 202218:35[329],F9 B5 ♺ B1061.8[330],"CCSFS,SLC-40",Transporter-5: (59 payloads Smallsat Rideshare),Unknown[e],SSO,Various,Success,Success(ground pad),2022-05-25 18:35:00,Wednesday,2022,5,18:35:00,Spring
134,8 June 202221:03[332],F9 B5 ♺ B1062.7[332],"CCSFS,SLC-40",Nilesat-301[333],"~4,100 kg (9,000 lb)[334]",GTO,Nilesat,Success,Success(drone ship),2022-06-08 21:03:00,Wednesday,2022,6,21:03:00,Summer
135,17 June 202216:09[335],F9 B5 ♺ B1060.13[335],"KSC,LC-39A",Starlink Group 4-19 (53 satellites),"~16,250 kg (35,830 lb)",LEO,SpaceX,Success,Success(drone ship),2022-06-17 16:09:00,Friday,2022,6,16:09:00,Summer
136,18 June 202214:19[337][338],F9 B5 ♺ B1071.3,"VSFB,SLC-4E",SARah 1[339],"~4,000 kg (8,800 lb)[340]",SSO,German Intelligence Service,Success,Success(ground pad),2022-06-18 14:19:00,Saturday,2022,6,14:19:00,Summer
137,19 June 202204:27[343],F9 B5 ♺ B1061.9[343],"CCSFS,SLC-40",Globalstar-2 M087 (FM15)[344]USA 328-331[345][346],"~700 kg (1,500 lb)(excluding secret payloads)",LEO,GlobalstarUnknown US Government Agency,Success,Success(drone ship),2022-06-19 04:27:00,Sunday,2022,6,04:27:00,Summer
138,29 June 202221:04[349],F9 B5 ♺ B1073.2[349],"CCSFS,SLC-40",SES-22,"~3,500 kg (7,700 lb)",GTO,SES,Success,Success(drone ship),2022-06-29 21:04:00,Wednesday,2022,6,21:04:00,Summer
139,7 July 202213:11[351],F9 B5 ♺ B1058.13[352],"CCSFS,SLC-40",Starlink Group 4-21 (53 satellites),"~16,250 kg (35,830 lb)",LEO,SpaceX,Success,Success(drone ship),2022-07-07 13:11:00,Thursday,2022,7,13:11:00,Summer
140,11 July 202201:39[353],F9 B5 ♺ B1063.6,"VSFB,SLC-4E",Starlink Group 3-1 (46 satellites)[354],"~14,100 kg (31,100 lb)[355]",SSO,SpaceX,Success,Success(drone ship),2022-07-11 01:39:00,Monday,2022,7,01:39:00,Summer
141,15 July 202200:44:22[356],F9 B5 ♺ B1067.5,"KSC,LC-39A",SpaceX CRS-25(Dragon C208.3 ♺ )[357],"2,668 kg (5,881 lb)[356](excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success(drone ship),2022-07-15 00:44:00,Friday,2022,7,00:44:00,Summer
142,17 July 202214:20[358][359],F9 B5 ♺ B1051.13[359],"CCSFS,SLC-40",Starlink Group 4-22 (53 satellites),"~16,250 kg (35,830 lb)",LEO,SpaceX,Success,Success(drone ship),2022-07-17 14:20:00,Sunday,2022,7,14:20:00,Summer
143,22 July 202217:39[270],F9 B5 ♺ B1071.4,"VSFB,SLC-4E",Starlink Group 3-2 (46 satellites)[361],"~14,100 kg (31,100 lb)",SSO,SpaceX,Success,Success(drone ship),2022-07-22 17:39:00,Friday,2022,7,17:39:00,Summer
144,24 July 202213:38[362],F9 B5 ♺ B1062.8,"KSC,LC-39A",Starlink Group 4-25 (53 satellites),"~16,250 kg (35,830 lb)",LEO,SpaceX,Success,Success(drone ship),2022-07-24 13:38:00,Sunday,2022,7,13:38:00,Summer
145,4 August 202223:08[363],F9 B5 ♺ B1052.6,"CCSFS,SLC-40",Danuri (Korea Pathfinder Lunar Orbiter)[364],"~679 kg (1,497 lb)[365]",Ballistic lunar transfer (BLT),KARI,Success,Success(drone ship),2022-08-04 23:08:00,Thursday,2022,8,23:08:00,Summer
146,10 August 202202:14[368],F9 B5 ♺ B1073.3[369],"KSC,LC-39A",Starlink Group 4-26[370] (52 satellites),"~16,000 kg (35,000 lb)",LEO,SpaceX,Success,Success(drone ship),2022-08-10 02:14:00,Wednesday,2022,8,02:14:00,Summer
147,12 August 202221:40:20[371][372],F9 B5 ♺ B1061.10,"VSFB,SLC-4E",Starlink Group 3-3[373] (46 satellites),"~14,100 kg (31,100 lb)",SSO,SpaceX,Success,Success(drone ship),2022-08-12 21:40:00,Friday,2022,8,21:40:00,Summer
148,19 August 202219:21:20[374],F9 B5 ♺ B1062.9,"CCSFS,SLC-40",Starlink Group 4-27[375] (53 satellites),"~16,250 kg (35,830 lb)",LEO,SpaceX,Success,Success(drone ship),2022-08-19 19:21:00,Friday,2022,8,19:21:00,Summer
149,28 August 202203:41[305],F9 B5 ♺ B1069.2[376],"CCSFS,SLC-40",Starlink Group 4-23[377] (54 satellites)[378],"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2022-08-28 03:41:00,Sunday,2022,8,03:41:00,Summer
150,31 August 202205:40[381],F9 B5 ♺ B1063.7,"VSFB,SLC-4E",Starlink Group 3-4[382] (46 satellites),"~14,200 kg (31,300 lb)",SSO,SpaceX,Success,Success(drone ship),2022-08-31 05:40:00,Wednesday,2022,8,05:40:00,Summer
151,5 September 202202:09[383],F9 B5 ♺ B1052.7,"CCSFS,SLC-40",Starlink Group 4-20 (51 satellites) Sherpa-LTC2,"~16,000 kg (35,000 lb)[384][385]",LEO,SpaceXSpaceflight Industries,Success,Success(drone ship),2022-09-05 02:09:00,Monday,2022,9,02:09:00,Autumn
152,11 September 202201:20[386],F9 B5 ♺ B1058.14,"KSC,LC-39A",Starlink Group 4-2[387] (34 satellites)BlueWalker-3,"~11,938 kg (26,319 lb)",LEO,SpaceXAST SpaceMobile,Success,Success(drone ship),2022-09-11 01:20:00,Sunday,2022,9,01:20:00,Autumn
153,19 September 202200:18[391],F9 B5 ♺ B1067.6[392],"CCSFS,SLC-40",Starlink Group 4-34 (54 satellites)[393],"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2022-09-19 00:18:00,Monday,2022,9,00:18:00,Autumn
154,24 September 202223:32[394],F9 B5 ♺ B1073.4[395],"CCSFS,SLC-40",Starlink Group 4-35 (52 satellites)[396],"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success(drone ship),2022-09-24 23:32:00,Saturday,2022,9,23:32:00,Autumn
155,5 October 202216:00[397],F9 B5 B1077.1,"KSC,LC-39A",Crew-5[112](Crew Dragon C210.2 Endurance ♺ ),"~13,000 kg (29,000 lb)",LEO (ISS),NASA (CTS)[22],Success,Success(drone ship),2022-10-05 16:00:00,Wednesday,2022,10,16:00:00,Autumn
156,5 October 202223:10[400],F9 B5 ♺ B1071.5,"VSFB,SLC-4E",Starlink Group 4-29 (52 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success(drone ship),2022-10-05 23:10:00,Wednesday,2022,10,23:10:00,Autumn
157,8 October 202223:05[401],F9 B5 ♺ B1060.14[402],"CCSFS,SLC-40",Galaxy 33 and Galaxy 34 (2 satellites)[403],"7,350 kg (16,200 lb)",GTO[404],Intelsat,Success,Success(drone ship),2022-10-08 23:05:00,Saturday,2022,10,23:05:00,Autumn
158,15 October 202205:22[408],F9 B5 ♺ B1069.3,"CCSFS,SLC-40",Hotbird 13F,"~4,500 kg (9,900 lb)",GTO,Eutelsat,Success,Success(drone ship),2022-10-15 05:22:00,Saturday,2022,10,05:22:00,Autumn
159,20 October 202214:50[412],F9 B5 ♺ B1062.10[413],"CCSFS,SLC-40",Starlink Group 4-36 (54 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2022-10-20 14:50:00,Thursday,2022,10,14:50:00,Autumn
160,28 October 202201:14:10[415],F9 B5 ♺ B1063.8,"VSFB,SLC-4E",Starlink Group 4-31[416] (53 satellites),"~16,400 kg (36,200 lb)",LEO,SpaceX,Success,Success(drone ship),2022-10-28 01:14:00,Friday,2022,10,01:14:00,Autumn
161,3 November 202205:22[423],F9 B5 ♺ B1067.7,"CCSFS,SLC-40",Hotbird 13G,"~4,500 kg (9,900 lb)",GTO,Eutelsat,Success,Success(drone ship),2022-11-03 05:22:00,Thursday,2022,11,05:22:00,Autumn
162,12 November 202216:06[424],F9 B5 ♺ B1051.14,"CCSFS,SLC-40",Galaxy 31 and Galaxy 32 (2 satellites),"~6,600 kg (14,600 lb)",GTO,Intelsat,Success,No attempt,2022-11-12 16:06:00,Saturday,2022,11,16:06:00,Autumn
163,23 November 202202:57[426],F9 B5 ♺ B1049.11[427],"CCSFS,SLC-40",Eutelsat 10B,"5,500 kg (12,100 lb)[428]",GTO,Eutelsat,Success,No attempt,2022-11-23 02:57:00,Wednesday,2022,11,02:57:00,Autumn
164,26 November 202219:20[431],F9 B5 B1076.1,"KSC,LC-39A",SpaceX CRS-26(Dragon C211.1)[432],"3,528 kg (7,778 lb)[433]",LEO (ISS),NASA (CRS),Success,Success(drone ship),2022-11-26 19:20:00,Saturday,2022,11,19:20:00,Autumn
165,8 December 202222:27[434],F9 B5 ♺ B1069.4,"KSC,LC-39A",OneWeb Flight #15 / SpaceX Flight 1 (40 satellites),"6,000 kg (13,000 lb)",Polar LEO,OneWeb,Success,Success(ground pad),2022-12-08 22:27:00,Thursday,2022,12,22:27:00,Winter
166,11 December 202207:38[437],F9 B5 ♺  B1073.5,"CCSFS,SLC-40",Hakuto-R Mission 1[438]Emirates Lunar MissionLunar Flashlight[439],"~1,000 kg (2,200 lb)[440][441]",Ballistic lunar transfer (BLT),ispace MBRSC  JAXA NASA,Success,Success(ground pad),2022-12-11 07:38:00,Sunday,2022,12,07:38:00,Winter
167,16 December 202211:46[445],F9 B5 ♺ B1071.6,"VSFB,SLC-4E",Surface Water and Ocean Topography (SWOT)[446],"~2,200 kg (4,900 lb)[447]",LEO,NASA/CNES,Success,Success(ground pad),2022-12-16 11:46:00,Friday,2022,12,11:46:00,Winter
168,16 December 202222:48[449],F9 B5 ♺ B1067.8,"CCSFS,SLC-40",O3b mPOWER 1 & 2,"~4,100 kg (9,000 lb)",MEO,SES,Success,Success(drone ship),2022-12-16 22:48:00,Friday,2022,12,22:48:00,Winter
169,17 December 202221:32[449],F9 B5 ♺ B1058.15,"KSC,LC-39A",Starlink Group 4-37[452] (54 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2022-12-17 21:32:00,Saturday,2022,12,21:32:00,Winter
170,28 December 202209:34[453],F9 B5 ♺ B1062.11,"CCSFS,SLC-40",Starlink Group 5-1 (54 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2022-12-28 09:34:00,Wednesday,2022,12,09:34:00,Winter
171,30 December 202207:38[456],F9 B5 ♺ B1061.11,"VSFB,SLC-4E",EROS-C3[457],~400 kg (880 lb),Retrograde LEO,ImageSat International,Success,Success(ground pad),2022-12-30 07:38:00,Friday,2022,12,07:38:00,Winter
172,3 January 202314:56[464],F9 B5 ♺ B1060.15[465],"CCSFS,SLC-40",Transporter-6: (115 payloads Smallsat Rideshare),Unknown[e],SSO,Various,Success,Success(ground pad),2023-01-03 14:56:00,Tuesday,2023,1,14:56:00,Winter
173,10 January 202304:50[470],F9 B5 ♺ B1076.2,"CCSFS,SLC-40",OneWeb Flight #16 / SpaceX Flight 2[436][471] (40 satellites)[472],"6,000 kg (13,000 lb)",Polar LEO,OneWeb,Success,Success(ground pad),2023-01-10 04:50:00,Tuesday,2023,1,04:50:00,Winter
174,18 January 202312:24[478],F9 B5 ♺ B1077.2,"CCSFS,SLC-40",USA-343 / GPS III-06 (Amelia Earhart)[67][208],"4,352 kg (9,595 lb)",MEO,USSF[56],Success,Success(drone ship),2023-01-18 12:24:00,Wednesday,2023,1,12:24:00,Winter
175,19 January 202315:43[479],F9 B5B1075.1,"VSFB,SLC-4E",Starlink Group 2-4 (51 satellites),"15,000 kg (33,000 lb)",LEO,SpaceX,Success,Success(drone ship),2023-01-19 15:43:00,Thursday,2023,1,15:43:00,Winter
176,26 January 202309:32[480],F9 B5 ♺B1067.9,"CCSFS,SLC-40",Starlink Group 5-2 (56 satellites),"~17,400 kg (38,400 lb)[379]",LEO,SpaceX,Success,Success(drone ship),2023-01-26 09:32:00,Thursday,2023,1,09:32:00,Winter
177,31 January 202316:15[481],F9 B5 ♺B1071.7[482],"VSFB,SLC-4E",Starlink Group 2-6[483] (49 satellites)ION SCV009 Eclectic Elena[484],"~15,200 kg (33,500 lb)",LEO,SpaceXD-Orbit,Success,Success(drone ship),2023-01-31 16:15:00,Tuesday,2023,1,16:15:00,Winter
178,2 February 202307:58[481],F9 B5 ♺B1069.5,"KSC,LC-39A",Starlink Group 5-3 (53 satellites)[485],"16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success(drone ship),2023-02-02 07:58:00,Thursday,2023,2,07:58:00,Winter
179,7 February 202301:32[486],F9 B5 ♺B1073.6[487],"CCSFS,SLC-40",Amazonas Nexus,"4,146 kg (9,140 lb)[488]",GTO,Hispasat,Success,Success(drone ship),2023-02-07 01:32:00,Tuesday,2023,2,01:32:00,Winter
180,12 February 202305:10[492],F9 B5 ♺B1062.12[493],"CCSFS,SLC-40",Starlink Group 5-4 (55 satellites)[494],"17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success(drone ship),2023-02-12 05:10:00,Sunday,2023,2,05:10:00,Winter
181,17 February 202319:12[492],F9 B5 ♺B1063.9[496],"VSFB,SLC-4E",Starlink Group 2-5 (51 satellites),"15,900 kg (35,100 lb)",LEO,SpaceX,Success,Success(drone ship),2023-02-17 19:12:00,Friday,2023,2,19:12:00,Winter
182,18 February 202303:59[497],F9 B5 ♺B1077.3[498],"CCSFS,SLC-40",Inmarsat-6 F2[499][500],"5,470 kg (12,060 lb)[497]",GTO,Inmarsat,Success,Success(drone ship),2023-02-18 03:59:00,Saturday,2023,2,03:59:00,Winter
183,27 February 202323:13[503],F9 B5 ♺B1076.3[504],"CCSFS,SLC-40",Starlink Group 6-1[505] (21 satellites)[506],"~16,900 kg (37,300 lb)",LEO,SpaceX,Success,Success(drone ship),2023-02-27 23:13:00,Monday,2023,2,23:13:00,Winter
184,2 March 202305:34[510],F9 B5B1078.1,"KSC,LC-39A",Crew-6(Crew Dragon C206.4 Endeavour ♺ )[511],"~13,000 kg (29,000 lb)",LEO (ISS),NASA (CTS)[22],Success,Success(drone ship),2023-03-02 05:34:00,Thursday,2023,3,05:34:00,Spring
185,3 March 202318:38[503],F9 B5 ♺B1061.12,"VSFB,SLC-4E",Starlink Group 2-7[512] (51 satellites),"15,900 kg (35,100 lb)",LEO,SpaceX,Success,Success(drone ship),2023-03-03 18:38:00,Friday,2023,3,18:38:00,Spring
186,9 March 202319:13[513],F9 B5 ♺B1062.13,"CCSFS,SLC-40",OneWeb #17 / SpaceX OneWeb-3 (40 satellites)[436][471],"6,000 kg (13,000 lb)",LEO,OneWeb,Success,Success(ground pad),2023-03-09 19:13:00,Thursday,2023,3,19:13:00,Spring
187,15 March 202300:30[514],F9 B5 ♺B1073.7[515],"KSC,LC-39A",SpaceX CRS-27(Dragon C209.3 ♺)[516],"2,852 kg (6,288 lb)",LEO (ISS),NASA (CRS),Success,Success(drone ship),2023-03-15 00:30:00,Wednesday,2023,3,00:30:00,Spring
188,17 March 202319:26[519],F9 B5 ♺B1071.8,"VSFB,SLC-4E",Starlink Group 2-8 (52 satellites),"~16,200 kg (35,700 lb)",LEO,SpaceX,Success,Success(drone ship),2023-03-17 19:26:00,Friday,2023,3,19:26:00,Spring
189,17 March 202323:38[519],F9 B5 ♺B1069.6,"CCSFS,SLC-40",SES-18 and SES-19,"~7,000 kg (15,000 lb)",GTO,SES,Success,Success(drone ship),2023-03-17 23:38:00,Friday,2023,3,23:38:00,Spring
190,24 March 202315:43[522],F9 B5 ♺B1067.10,"CCSFS,SLC-40",Starlink Group 5-5[523] (56 satellites),"~17,400 kg (38,400 lb)",LEO,SpaceX,Success,Success(drone ship),2023-03-24 15:43:00,Friday,2023,3,15:43:00,Spring
191,29 March 202320:01[524],F9 B5 ♺B1077.4,"CCSFS,SLC-40",Starlink Group 5-10 (56 satellites),"~17,400 kg (38,400 lb)",LEO,SpaceX,Success,Success(drone ship),2023-03-29 20:01:00,Wednesday,2023,3,20:01:00,Spring
192,2 April 202314:29[525],F9 B5 ♺B1075.2,"VSFB,SLC-4E",Transport and Tracking Layer (Tranche 0A) (8 Transport and 2 Tracking Layer satellites),Unknown,LEO,SDA,Success,Success(ground pad),2023-04-02 14:29:00,Sunday,2023,4,14:29:00,Spring
193,7 April 202304:30[527],F9 B5 ♺B1076.4,"CCSFS,SLC-40",Intelsat 40eTEMPO,"~5,588 kg (12,319 lb)[528]",GTO,IntelsatNASA,Success,Success(drone ship),2023-04-07 04:30:00,Friday,2023,4,04:30:00,Spring
194,15 April 202306:47[530],F9 B5 ♺B1063.10,"VSFB,SLC-4E",Transporter-7: (51 payloads Smallsat Rideshare),Unknown,SSO,Various,Success,Success(ground pad),2023-04-15 06:47:00,Saturday,2023,4,06:47:00,Spring
195,19 April 202314:31[533],F9 B5 ♺B1073.8,"CCSFS,SLC-40",Starlink Group 6-2 (21 satellites),"~16,900 kg (37,300 lb)",LEO,SpaceX,Success,Success(drone ship),2023-04-19 14:31:00,Wednesday,2023,4,14:31:00,Spring
196,27 April 202313:40[535],F9 B5 ♺B1061.13,"VSFB,SLC-4E",Starlink Group 3-5 (46 satellites),"~14,100 kg (31,100 lb)",SSO,SpaceX,Success,Success(drone ship),2023-04-27 13:40:00,Thursday,2023,4,13:40:00,Spring
197,28 April 202322:12[536],F9 B5 ♺B1078.2[537],"CCSFS,SLC-40",O3b mPOWER 3 & 4,"~4,100 kg (9,000 lb)",MEO,SES,Success,Success(drone ship),2023-04-28 22:12:00,Friday,2023,4,22:12:00,Spring
198,4 May 202307:31[544],F9 B5 ♺B1069.7[544],"CCSFS,SLC-40",Starlink Group 5-6[545] (56 satellites),"~17,400 kg (38,400 lb)",LEO,SpaceX,Success,Success(drone ship),2023-05-04 07:31:00,Thursday,2023,5,07:31:00,Spring
199,10 May 202320:09[546],F9 B5 ♺B1075.3[547],"VSFB,SLC-4E",Starlink Group 2-9 (51 satellites),"15,900 kg (35,100 lb)",LEO,SpaceX,Success,Success(drone ship),2023-05-10 20:09:00,Wednesday,2023,5,20:09:00,Spring
200,14 May 202305:03[548],F9 B5 ♺B1067.11,"CCSFS,SLC-40",Starlink Group 5-9[549] (56 satellites),"~17,400 kg (38,400 lb)",LEO,SpaceX,Success,Success(drone ship),2023-05-14 05:03:00,Sunday,2023,5,05:03:00,Spring
201,19 May 202306:19[550],F9 B5 ♺B1076.5,"CCSFS,SLC-40",Starlink Group 6-3[551] (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2023-05-19 06:19:00,Friday,2023,5,06:19:00,Spring
202,20 May 202313:16[550],F9 B5 ♺B1063.11,"VSFB,SLC-4E",Iridium-NEXT[552] (5 satellites)OneWeb (15 Gen1 plus a Gen2 test satellite)[553],"~6,600 kg (14,600 lb)",Polar LEO,Iridium & OneWeb,Success,Success(drone ship),2023-05-20 13:16:00,Saturday,2023,5,13:16:00,Spring
203,21 May 202321:37[555],F9 B5B1080.1,"KSC,LC-39A",Ax-2(Crew Dragon C212.2 Freedom ♺) [552],"~13,000 kg (29,000 lb)",LEO (ISS),Axiom Space,Success,Success(ground pad),2023-05-21 21:37:00,Sunday,2023,5,21:37:00,Spring
204,27 May 202304:30[561],F9 B5 ♺B1062.14,"CCSFS,SLC-40",ArabSat 7B (Badr-8)[562],"~4,500 kg (9,900 lb)",GTO,Arabsat,Success,Success(drone ship),2023-05-27 04:30:00,Saturday,2023,5,04:30:00,Spring
