,Date andtime (UTC),"Version,Booster [a]",Launch site,Payload[b],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,date,day,year,month,time,season
29,19 February 201714:39,F9 FT B1031.1[3],"KSC,LC-39A",SpaceX CRS-10[138](Dragon C112.1),"2,490 kg (5,490 lb)[157] (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success(ground pad),2017-02-19 14:39:00,Sunday,2017,2,14:39:00,Winter
30,16 March 201706:00,F9 FT B1030[160],"KSC,LC-39A",EchoStar 23,"5,600 kg (12,300 lb)[161]",GTO,EchoStar,Success,No attempt[162],2017-03-16 06:00:00,Thursday,2017,3,06:00:00,Spring
31,30 March 201722:27,F9 FT ♺B1021.2[112],"KSC,LC-39A",SES-10[106][165],"5,300 kg (11,700 lb)[166]",GTO,SES,Success,Success(drone ship),2017-03-30 22:27:00,Thursday,2017,3,22:27:00,Spring
32,1 May 201711:15,F9 FT B1032.1[126],"KSC,LC-39A",NROL-76[171],Classified,LEO[172],NRO,Success,Success(ground pad),2017-05-01 11:15:00,Monday,2017,5,11:15:00,Spring
33,15 May 201723:21,F9 FT B1034.1[176],"KSC,LC-39A",Inmarsat-5 F4[177],"6,070 kg (13,380 lb)[178]",GTO,Inmarsat,Success,No attempt[162],2017-05-15 23:21:00,Monday,2017,5,23:21:00,Spring
34,3 June 201721:07,F9 FT B1035.1[182],"KSC,LC-39A",SpaceX CRS-11[138](Dragon C106.2 ♺ ),"2,708 kg (5,970 lb)[183] (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success(ground pad),2017-06-03 21:07:00,Saturday,2017,6,21:07:00,Summer
35,23 June 201719:10,F9 FT ♺ B1029.2[192],"KSC,LC-39A",BulgariaSat-1[193],"3,669 kg (8,089 lb)[194]",GTO,Bulsatcom,Success,Success(drone ship),2017-06-23 19:10:00,Friday,2017,6,19:10:00,Summer
36,25 June 201720:25,F9 FT B1036.1[195],"VSFB,SLC-4E",Iridium NEXT-2(10 satellites),"9,600 kg (21,200 lb)",LEO,Iridium Communications,Success,Success(drone ship),2017-06-25 20:25:00,Sunday,2017,6,20:25:00,Summer
37,5 July 201723:38,F9 FT B1037.1[197],"KSC,LC-39A",Intelsat 35e[198],"6,761 kg (14,905 lb)[199]",GTO,Intelsat,Success,No attempt[162],2017-07-05 23:38:00,Wednesday,2017,7,23:38:00,Summer
38,14 August 201716:31,F9 B4 B1039.1[204],"KSC,LC-39A",SpaceX CRS-12[138](Dragon C113.1),"3,310 kg (7,300 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success(ground pad),2017-08-14 16:31:00,Monday,2017,8,16:31:00,Summer
39,24 August 201718:51,F9 FT B1038.1[206],"VSFB,SLC-4E",Formosat-5[207][208],"475 kg (1,047 lb)[209]",SSO,NSPO,Success,Success(drone ship),2017-08-24 18:51:00,Thursday,2017,8,18:51:00,Summer
40,7 September 201714:00[212],F9 B4 B1040.1[105],"KSC,LC-39A",Boeing X-37B OTV-5,"4,990 kg (11,000 lb)[213]+ OTV payload",LEO,USAF,Success,Success(ground pad),2017-09-07 14:00:00,Thursday,2017,9,14:00:00,Autumn
41,9 October 201712:37,F9 B4 B1041.1[216],"VSFB,SLC-4E",Iridium NEXT-3(10 satellites)[149],"9,600 kg (21,200 lb)",Polar LEO,Iridium Communications,Success,Success(drone ship),2017-10-09 12:37:00,Monday,2017,10,12:37:00,Autumn
42,11 October 201722:53:00,F9 FT ♺ B1031.2[217],"KSC,LC-39A",SES-11 / EchoStar 105,"5,400 kg (11,900 lb)[218][219]",GTO,SES S.A.EchoStar,Success,Success(drone ship),2017-10-11 22:53:00,Wednesday,2017,10,22:53:00,Autumn
43,30 October 201719:34,F9 B4 B1042.1[216],"KSC,LC-39A",Koreasat 5A[221],"3,500 kg (7,700 lb)",GTO,KT Corporation,Success,Success(drone ship),2017-10-30 19:34:00,Monday,2017,10,19:34:00,Autumn
44,15 December 201715:36[225],F9 FT ♺ B1035.2[226],"CCSFS,SLC-40",SpaceX CRS-13[138](Dragon C108.2 ♺ ),"2,205 kg (4,861 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success(ground pad),2017-12-15 15:36:00,Friday,2017,12,15:36:00,Winter
45,23 December 201701:27[228],F9 FT ♺ B1036.2[226],"VSFB,SLC-4E",Iridium NEXT-4(10 satellites)[149],"9,600 kg (21,200 lb)",Polar LEO,Iridium Communications,Success,Controlled(ocean)[c][229],2017-12-23 01:27:00,Saturday,2017,12,01:27:00,Winter
46,8 January 201801:00[235],F9 B4 B1043.1,"CCSFS,SLC-40",Zuma[236],Classified,LEO,Northrop Grumman [e],Success,Success(ground pad),2018-01-08 01:00:00,Monday,2018,1,01:00:00,Winter
47,31 January 201821:25[240],F9 FT ♺ B1032.2[241],"CCSFS,SLC-40",GovSat-1 (SES-16)[242],"4,230 kg (9,330 lb)[243]",GTO,SES,Success,Controlled(ocean)[c][244],2018-01-31 21:25:00,Wednesday,2018,1,21:25:00,Winter
48,22 February 201814:17[262],F9 FT ♺ B1038.2[263],"VSFB,SLC-4E",Paz[264]Tintin A and Tintin B[265],"2,150 kg (4,740 lb)",SSO,HisdesatexactEarthSpaceX,Success,No attempt[266],2018-02-22 14:17:00,Thursday,2018,2,14:17:00,Winter
49,6 March 201805:33[271],F9 B4 B1044.1[105],"CCSFS,SLC-40",Hispasat 30W-6[272]PODSat[273],"6,092 kg (13,431 lb)[274]",GTO,Hispasat[272]NovaWurks,Success,Controlled(ocean)[c][276],2018-03-06 05:33:00,Tuesday,2018,3,05:33:00,Spring
50,30 March 201814:14[280],F9 B4 ♺ B1041.2[263],"VSFB,SLC-4E",Iridium NEXT-5(10 satellites)[149],"9,600 kg (21,200 lb)",Polar LEO,Iridium Communications,Success,No attempt[282],2018-03-30 14:14:00,Friday,2018,3,14:14:00,Spring
51,2 April 201820:30[286],F9 B4 ♺ B1039.2[287],"CCSFS,SLC-40",SpaceX CRS-14[138](Dragon C110.2 ♺ ),"2,647 kg (5,836 lb)[287] (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,No attempt[289],2018-04-02 20:30:00,Monday,2018,4,20:30:00,Spring
52,18 April 201822:51[298],F9 B4 B1045.1[263],"CCSFS,SLC-40",Transiting Exoplanet Survey Satellite (TESS)[299],362 kg (798 lb)[300],HEO for P/2 orbit,NASA (LSP),Success,Success[301](drone ship),2018-04-18 22:51:00,Wednesday,2018,4,22:51:00,Spring
53,11 May 201820:14[305],F9 B5[306]B1046.1[263],"KSC,LC-39A",Bangabandhu-1[307][308],"3,600 kg (7,900 lb)[309]",GTO,Thales-Alenia / BTRC,Success,Success[310](drone ship),2018-05-11 20:14:00,Friday,2018,5,20:14:00,Spring
54,22 May 201819:47[316],F9 B4 ♺ B1043.2[317],"VSFB,SLC-4E",Iridium NEXT-6(5 satellites)[149][152]GRACE-FO × 2[318][319],"6,460 kg (14,240 lb)[f]",Polar LEO,Iridium CommunicationsGFZ • NASA,Success,No attempt[162],2018-05-22 19:47:00,Tuesday,2018,5,19:47:00,Spring
55,4 June 201804:45[325],F9 B4 ♺ B1040.2[263],"CCSFS,SLC-40",SES-12[326],"5,384 kg (11,870 lb)[327]",GTO,SES,Success,No attempt[162],2018-06-04 04:45:00,Monday,2018,6,04:45:00,Summer
56,29 June 201809:42[330],F9 B4 ♺ B1045.2[331],"CCSFS,SLC-40",SpaceX CRS-15(Dragon C111.2 ♺ ),"2,697 kg (5,946 lb)[332] (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,No attempt[162],2018-06-29 09:42:00,Friday,2018,6,09:42:00,Summer
57,22 July 201805:50[335],F9 B5 B1047.1,"CCSFS,SLC-40",Telstar 19V[336],"7,075 kg (15,598 lb)[337]",GTO[338],Telesat,Success,Success[339](drone ship),2018-07-22 05:50:00,Sunday,2018,7,05:50:00,Summer
58,25 July 201811:39[343],F9 B5[344]B1048.1[345],"VSFB,SLC-4E",Iridium NEXT-7(10 satellites)[149],"9,600 kg (21,200 lb)",Polar LEO,Iridium Communications,Success,Success[347](drone ship),2018-07-25 11:39:00,Wednesday,2018,7,11:39:00,Summer
59,7 August 201805:18[348],F9 B5 ♺ B1046.2[349],"CCSFS,SLC-40",Merah Putih (formerly Telkom-4)[350][351],"5,800 kg (12,800 lb)[352]",GTO,Telkom Indonesia,Success,Success[353](drone ship),2018-08-07 05:18:00,Tuesday,2018,8,05:18:00,Summer
60,10 September 201804:45[356],F9 B5 B1049.1[263],"CCSFS,SLC-40",Telstar 18V / Apstar-5C[336],"7,060 kg (15,560 lb)[356]",GTO[356],Telesat,Success,Success[356](drone ship),2018-09-10 04:45:00,Monday,2018,9,04:45:00,Autumn
61,8 October 201802:22[358],F9 B5 ♺ B1048.2[359],"VSFB,SLC-4E",SAOCOM 1A[360][361],"3,000 kg (6,600 lb)[358]",SSO,CONAE,Success,Success[358](ground pad),2018-10-08 02:22:00,Monday,2018,10,02:22:00,Autumn
